No,Exoplanet's Name,Radius (Rjup),Mass,Semi Major Axis (AU),Eccentricity,Orbital Period (days),,,,
52,GJ 625 b,0.1198,0.0095,0.0784,0.13,14.638,,,,
53,GJ 649 c,0.1605,0.03,0.043,0.2,4.4762,,,,
54,GJ 667 C b,0.1403,0.0176,0.0505,0.13,7.2004,,,,
55,GJ 667 C c,0.1272,0.012,0.125,0.02,28.14,,,,
56,GJ 667 C e,0.1164,0.0085,0.213,0.02,62.24,,,,
57,GJ 667 C f,0.1164,0.0085,0.156,0.03,39.026,,,,
58,GJ 667 C g,0.1336,0.0145,0.549,0.08,256.2,,,,
59,GJ 676 A d,0.1324,0.014,0.0413,0.15,3.6,,,,
60,GJ 682 b,0.132,0.0138,0.08,0.08,17.478,,,,
61,GJ 682 c,0.1569,0.0274,0.176,0.1,57.32,,,,
62,GJ 685 b,0.1582,0.0283,0.1344,0,24.16,,,,
63,GJ 740 b,0.1192,0.0093,0.029,0.24,2.3776,,,,
64,GJ 876 d,0.148,0.0217,0.021,0.082,1.938,,,,
65,GJ 887 b,0.1304,0.0132,0.068,0,9.252,,,,
66,GJ 887 c,0.1516,0.0239,0.12,0,21.789,,,,
67,GJ 1002 b,0.0914,0.0034,0.0457,0,10.3465,,,,
68,GJ 1002 c,0.0972,0.0043,0.0738,0,20.202,,,,
69,GJ 1061 b,0.0986,0.0045,0.021,0.31,3.204,,,,
70,GJ 1061 c,0.1037,0.0055,0.035,0.29,6.689,,,,
71,GJ 1061 d,0.1009,0.0049,0.052,0.54,12.434,,,,
72,GJ 1132 b,0.1035,0.0052,0.0154,0,1.6289,,,,
73,GJ 1132 c,0.1157,0.0083,0.0476,0.27,8.929,,,,
74,GJ 1214 b,0.2446,0.0257,0.0141,0.27,1.5804,,,,
75,GJ 1252 b,0.1053,0.0042,0.0092,0,0.5182,,,,
76,GJ 1265 b,0.1506,0.0233,0.026,0.04,3.6511,,,,
77,GJ 2030 b,0.1324,0.014,0.034,0.246,0,,,,
78,GJ 3082 b,0.1572,0.0276,0.079,0.26,11.942,,,,
79,GJ 3138 b,0.1304,0.0132,0.057,0.11,5.974,,,,
80,GJ 3138 c,0.1043,0.0056,0.0197,0.19,1.22,,,,
81,GJ 3293 d,0.1518,0.024,0.194,0.12,48.1345,,,,
82,GJ 3293 e,0.1223,0.0103,0.0821,0.21,13.2543,,,,
83,GJ 3323 b,0.1079,0.0064,0.0328,0.23,5.3636,,,,
84,GJ 3323 c,0.1117,0.0073,0.1264,0.17,40.54,,,,
85,GJ 3473 b,0.1128,0.0059,0.0159,0,1.198,,,,
86,GJ 3473 c,0.1474,0.0214,0.0876,0,15.509,,,,
87,GJ 3634 b,0.1549,0.026,0.0287,0.08,2.6456,,,,
88,GJ 3779 b,0.1536,0.0252,0.026,0.07,3.0232,,,,
89,GJ 3942 b,0.1493,0.0225,0.0608,0.121,6.905,,,,
90,GJ 3998 b,0.1137,0.0078,0.029,0,2.6498,,,,
91,GJ 3998 c,0.1444,0.0197,0.089,0.049,13.74,,,,
92,GJ 4276 c,0.1311,0.0135,0.052,0.07,6.675,,,,
93,GJ 9689 b,0.161,0.0304,0.1139,0.29,18.27,,,,
94,GJ 9827 b,0.1364,0.0153,0.0187,0,1.209,,,,
95,GJ 9827 c,0.107,0.006,0.039,0,3.6481,,,,
96,GJ 9827 d,0.1744,0.0108,0.0555,0,6.2018,,,,
97,GQ Lup b,1.8,0.013,32,0,0,,,,
98,G 9-40 b,0.17,0.013,0.0418,0,5.746,,,,
99,G 264-012 b,0.1142,0.0079,0.0228,0,2.3054,,,,
100,G 264-012 c,0.1267,0.0118,0.0525,0,8.0518,,,,
